pdb,bottom_z,top_z,bottom_serial,top_serial
PSM-00.pdb,-14.518,16.917,126,7
PSM-01.pdb,-14.041,16.21,126,7
PSM-02.pdb,-13.663,16.353,126,11
PSM-03.pdb,-13.62,16.337,126,7
PSM-04.pdb,-13.211,15.809,126,7
PSM-05.pdb,-12.783,14.691,125,9
PSM-06.pdb,-13.459,14.181,126,9
PSM-07.pdb,-12.657,14.038,125,8
PSM-08.pdb,-12.357,14.258,125,9
PSM-09.pdb,-12.824,14.035,126,7
