pdb,bottom_z,top_z,bottom_serial,top_serial
SOPC-00.pdb,-14.999,18.28,139,15
SOPC-01.pdb,-15.264,17.44,139,12
SOPC-02.pdb,-15.677,17.649,139,14
SOPC-03.pdb,-15.861,17.133,138,14
SOPC-04.pdb,-15.654,15.402,139,7
SOPC-05.pdb,-15.072,15.327,139,14
SOPC-06.pdb,-15.853,15.629,139,16
SOPC-07.pdb,-15.39,15.439,139,15
SOPC-08.pdb,-14.491,14.968,139,16
SOPC-09.pdb,-15.035,15.519,139,16
