pdb,bottom_z,top_z,bottom_serial,top_serial
CHL1-00.pdb,-10.218,8.571,68,3
CHL1-01.pdb,-10.375,7.833,68,3
CHL1-02.pdb,-10.27,7.909,68,3
CHL1-03.pdb,-10.543,7.989,68,4
CHL1-04.pdb,-10.305,7.934,68,4
CHL1-05.pdb,-10.279,8.026,68,3
CHL1-06.pdb,-10.356,8.007,68,4
CHL1-07.pdb,-10.544,7.922,68,3
CHL1-08.pdb,-10.335,8.222,68,4
CHL1-09.pdb,-10.518,8.523,68,4
