pdb,bottom_z,top_z,bottom_serial,top_serial
SOPS-00.pdb,-15.203,18.272,133,8
SOPS-01.pdb,-14.587,17.802,133,8
SOPS-02.pdb,-13.891,17.093,133,9
SOPS-03.pdb,-14.544,16.231,133,8
SOPS-04.pdb,-14.326,16.418,133,8
SOPS-05.pdb,-14.566,16.827,133,9
SOPS-06.pdb,-14.49,17.115,133,8
SOPS-07.pdb,-13.991,16.868,133,8
SOPS-08.pdb,-14.021,17.043,133,9
SOPS-09.pdb,-13.481,15.927,133,9
