TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG
35,26454.053,42404.3765,37351.1188,1217.2592,-751.7785,7544.4705,0.0,0.0,0.0,114219.4995,0.0,114219.4995,114219.4995,0.0
36,23849.4829,41950.6104,37308.8809,1179.3341,-750.5299,6728.7483,0.0,0.0,0.0,110266.5267,0.0,110266.5267,110266.5267,0.0
37,21584.9199,41534.94,37268.6079,1143.6346,-749.2918,5982.1096,0.0,0.0,0.0,106764.9201,0.0,106764.9201,106764.9201,0.0
38,19895.7801,41099.9909,37230.4059,1111.1854,-748.077,5259.32,0.0,0.0,0.0,103848.6052,0.0,103848.6052,103848.6052,0.0
39,18407.1319,40695.3165,37193.7452,1080.6006,-746.8688,4585.3593,0.0,0.0,0.0,101215.2846,0.0,101215.2846,101215.2846,0.0
40,16738.1195,40066.119,37140.9193,1039.4555,-745.0703,3697.7685,0.0,0.0,0.0,97937.3114,0.0,97937.3114,97937.3114,0.0
41,15337.7812,39486.6602,37090.8572,1001.7689,-743.279,2870.4592,0.0,0.0,0.0,95044.2477,0.0,95044.2477,95044.2477,0.0
42,14058.0055,38672.6722,37028.3958,958.7463,-741.0063,1997.2458,0.0,0.0,0.0,91974.0593,0.0,91974.0593,91974.0593,0.0
43,12982.3826,37919.6911,36972.1336,920.2175,-738.7245,1198.9315,0.0,0.0,0.0,89254.6318,0.0,89254.6318,89254.6318,0.0
44,12141.8243,37064.5242,36913.6353,883.5403,-736.3315,381.7213,0.0,0.0,0.0,86648.9139,0.0,86648.9139,86648.9139,0.0
45,11427.4983,36266.3418,36860.6542,850.8622,-733.9229,-344.9779,0.0,0.0,0.0,84326.4557,0.0,84326.4557,84326.4557,0.0
46,10943.7199,35532.0645,36814.5813,825.9648,-731.8262,-898.2304,0.0,0.0,0.0,82486.2739,0.0,82486.2739,82486.2739,0.0
47,10504.7806,34834.3378,36771.2549,803.2361,-729.7289,-1413.001,0.0,0.0,0.0,80770.8794,0.0,80770.8794,80770.8794,0.0
48,10162.0598,34202.7658,36731.4711,784.1599,-727.8552,-1851.7964,0.0,0.0,0.0,79300.8051,0.0,79300.8051,79300.8051,0.0
49,9863.9331,33609.5845,36693.9491,767.1584,-726.0596,-2271.0812,0.0,0.0,0.0,77937.4843,0.0,77937.4843,77937.4843,0.0
50,9598.4973,33044.0382,36658.2502,751.7544,-724.3232,-2651.5079,0.0,0.0,0.0,76676.7089,0.0,76676.7089,76676.7089,0.0
51,9359.6053,32501.8172,36623.9993,737.6215,-722.6312,-3006.0096,0.0,0.0,0.0,75494.4025,0.0,75494.4025,75494.4025,0.0
52,9141.7443,31977.9032,36590.8498,724.4976,-720.9729,-3340.7967,0.0,0.0,0.0,74373.2253,0.0,74373.2253,74373.2253,0.0
53,8940.286,31466.8234,36558.4345,712.1529,-719.338,-3660.94,0.0,0.0,0.0,73297.4187,0.0,73297.4187,73297.4187,0.0
54,8751.0801,30962.1671,36526.32,700.3662,-717.7023,-3971.3991,0.0,0.0,0.0,72250.832,0.0,72250.832,72250.832,0.0
55,8570.9774,30475.2083,36495.5563,689.3192,-716.065,-4272.0563,0.0,0.0,0.0,71242.9398,0.0,71242.9398,71242.9398,0.0
56,8347.3098,29991.7216,36464.4551,678.6857,-714.4695,-4560.4858,0.0,0.0,0.0,70207.2169,0.0,70207.2169,70207.2169,0.0
57,8037.5922,29119.7595,36407.682,660.1399,-711.4732,-5085.4127,0.0,0.0,0.0,68428.2877,0.0,68428.2877,68428.2877,0.0
58,7681.9255,27969.0108,36330.6486,636.8194,-707.2755,-5780.5887,0.0,0.0,0.0,66130.5402,0.0,66130.5402,66130.5402,0.0
59,7378.4086,26898.9877,36255.5887,615.9776,-703.146,-6419.0622,0.0,0.0,0.0,64026.7544,0.0,64026.7544,64026.7544,0.0
60,7131.2955,25968.8279,36186.4587,598.1633,-699.3501,-6970.4229,0.0,0.0,0.0,62214.9724,0.0,62214.9724,62214.9724,0.0
61,7063.4256,25648.2747,36160.8412,591.9128,-697.9957,-7162.6227,0.0,0.0,0.0,61603.8359,0.0,61603.8359,61603.8359,0.0
62,7008.6226,25339.2437,36135.9972,585.9471,-696.6372,-7231.6298,0.0,0.0,0.0,61141.5437,0.0,61141.5437,61141.5437,0.0
63,6966.9394,25041.7896,36111.9296,580.2662,-695.2749,-7127.2844,0.0,0.0,0.0,60878.3655,0.0,60878.3655,60878.3655,0.0
64,6938.4612,24755.9585,36088.6442,574.8697,-693.9087,-6716.1609,0.0,0.0,0.0,60947.864,0.0,60947.864,60947.864,0.0
65,6956.2412,24947.7173,36104.2838,578.483,-694.8317,-7037.2819,0.0,0.0,0.0,60854.6118,0.0,60854.6118,60854.6118,0.0
66,6954.191,24928.3024,36102.7037,578.1159,-694.7394,-7014.0105,0.0,0.0,0.0,60854.563,0.0,60854.563,60854.563,0.0
67,6955.154,24937.4863,36103.4513,578.2895,-694.7831,-7025.2382,0.0,0.0,0.0,60854.3598,0.0,60854.3598,60854.3598,0.0
68,6995.8235,24935.8729,36101.5948,577.869,-694.6718,-7559.465,0.0,0.0,0.0,60357.0233,0.0,60357.0233,60357.0233,0.0
69,7044.958,24937.7406,36099.7943,577.4499,-694.5578,-7776.6738,0.0,0.0,0.0,60188.7112,0.0,60188.7112,60188.7112,0.0
70,7102.9097,24943.0688,36098.0412,577.032,-694.4419,-7873.1654,0.0,0.0,0.0,60153.4445,0.0,60153.4445,60153.4445,0.0
71,7170.0328,24951.8343,36096.3293,576.6154,-694.3244,-7915.9145,0.0,0.0,0.0,60184.5729,0.0,60184.5729,60184.5729,0.0
72,7096.7077,24942.3809,36098.2146,577.0738,-694.4536,-7866.5654,0.0,0.0,0.0,60153.358,0.0,60153.358,60153.358,0.0
73,7098.9826,24942.6304,36098.1506,577.0584,-694.4492,-7869.0588,0.0,0.0,0.0,60153.3141,0.0,60153.3141,60153.3141,0.0
74,6844.644,24712.3366,36084.4572,573.8902,-693.7876,-7769.4914,0.0,0.0,0.0,59752.0491,0.0,59752.0491,59752.0491,0.0
75,6620.499,24491.3428,36070.9754,570.7898,-693.1286,-7561.3829,0.0,0.0,0.0,59499.0956,0.0,59499.0956,59499.0956,0.0
76,6426.4219,24279.6631,36057.708,567.7569,-692.4729,-7169.1219,0.0,0.0,0.0,59469.9552,0.0,59469.9552,59469.9552,0.0
77,6262.2702,24077.3165,36044.659,564.7917,-691.8212,-6450.4832,0.0,0.0,0.0,59806.733,0.0,59806.733,59806.733,0.0
78,6501.1473,24363.9815,36063.0371,568.973,-692.7371,-7356.6639,0.0,0.0,0.0,59447.7379,0.0,59447.7379,59447.7379,0.0
79,6493.4551,24355.4813,36062.5026,568.8509,-692.7107,-7339.9094,0.0,0.0,0.0,59447.6698,0.0,59447.6698,59447.6698,0.0
80,6496.208,24358.5278,36062.6943,568.8946,-692.7201,-7345.9638,0.0,0.0,0.0,59447.6407,0.0,59447.6407,59447.6407,0.0
81,6552.667,24122.0546,36041.0257,563.9959,-691.5656,-7726.9337,0.0,0.0,0.0,58861.2439,0.0,58861.2439,58861.2439,0.0
82,6646.3819,23897.8598,36019.9572,559.2795,-690.4099,-8013.3864,0.0,0.0,0.0,58419.6821,0.0,58419.6821,58419.6821,0.0
83,6671.2407,23845.0066,36012.9472,557.7332,-690.0296,-8193.7214,0.0,0.0,0.0,58203.1767,0.0,58203.1767,58203.1767,0.0
84,6707.2518,23796.5053,36006.0196,556.2036,-689.6474,-8229.3966,0.0,0.0,0.0,58146.9364,0.0,58146.9364,58146.9364,0.0
85,6754.8529,23752.3103,35999.1678,554.6906,-689.2635,-8175.1444,0.0,0.0,0.0,58196.6138,0.0,58196.6138,58196.6138,0.0
86,6703.1364,23801.1609,36006.7089,556.3558,-689.6857,-8230.2708,0.0,0.0,0.0,58147.4055,0.0,58147.4055,58147.4055,0.0
87,6706.8351,23796.9689,36006.0885,556.2188,-689.6512,-8229.5225,0.0,0.0,0.0,58146.9376,0.0,58146.9376,58146.9376,0.0
88,6760.7653,23682.861,35992.4503,553.2249,-688.9117,-8461.5169,0.0,0.0,0.0,57838.8728,0.0,57838.8728,57838.8728,0.0
89,6840.4795,23574.0513,35979.1722,550.2938,-688.1723,-8646.9549,0.0,0.0,0.0,57608.8696,0.0,57608.8696,57608.8696,0.0
90,6600.5851,23363.0888,35965.8173,547.3587,-687.5404,-8527.6729,0.0,0.0,0.0,57261.6367,0.0,57261.6367,57261.6367,0.0
91,6391.8671,23162.4346,35952.6461,544.4872,-686.9119,-8291.0649,0.0,0.0,0.0,57073.4581,0.0,57073.4581,57073.4581,0.0
92,6213.8448,22972.206,35939.6593,541.6781,-686.2875,-7852.3107,0.0,0.0,0.0,57128.7901,0.0,57128.7901,57128.7901,0.0
93,6334.7262,23103.7074,35948.6928,543.6297,-686.7224,-8184.8911,0.0,0.0,0.0,57059.1427,0.0,57059.1427,57059.1427,0.0
94,6321.9731,23090.3277,35947.7854,543.4332,-686.6787,-8157.5584,0.0,0.0,0.0,57059.2822,0.0,57059.2822,57059.2822,0.0
95,6329.6517,23098.3961,35948.3329,543.5518,-686.705,-8174.1899,0.0,0.0,0.0,57059.0375,0.0,57059.0375,57059.0375,0.0
96,6416.4708,22908.7101,35926.9266,538.9919,-685.5934,-8561.9396,0.0,0.0,0.0,56543.5664,0.0,56543.5664,56543.5664,0.0
97,6538.8492,22739.7549,35906.513,534.6018,-684.4805,-8628.1546,0.0,0.0,0.0,56407.0838,0.0,56407.0838,56407.0838,0.0
98,6691.9533,22583.4915,35887.1959,530.3667,-683.3665,-8275.8313,0.0,0.0,0.0,56733.8096,0.0,56733.8096,56733.8096,0.0
99,6518.493,22763.5834,35909.4949,535.2474,-684.6468,-8638.97,0.0,0.0,0.0,56403.202,0.0,56403.202,56403.202,0.0
100,6520.4973,22761.1781,35909.1957,535.1827,-684.6301,-8638.2563,0.0,0.0,0.0,56403.1674,0.0,56403.1674,56403.1674,0.0
101,6520.2526,22761.4711,35909.2321,535.1906,-684.6321,-8638.3473,0.0,0.0,0.0,56403.1671,0.0,56403.1671,56403.1671,0.0
102,6599.1233,22640.9124,35894.12,532.0467,-683.8036,-9071.5068,0.0,0.0,0.0,55910.892,0.0,55910.892,55910.892,0.0
103,6692.2322,22526.8856,35879.2857,528.9838,-682.9743,-9332.0698,0.0,0.0,0.0,55612.3432,0.0,55612.3432,55612.3432,0.0
104,6799.9403,22419.3638,35864.7279,526.0023,-682.1447,-9516.9721,0.0,0.0,0.0,55410.9175,0.0,55410.9175,55410.9175,0.0
105,6533.0484,22284.56,35857.1289,524.4152,-681.8061,-9355.4146,0.0,0.0,0.0,55161.9317,0.0,55161.9317,55161.9317,0.0
106,6307.8561,22156.6404,35849.6438,522.8995,-681.4699,-9028.0774,0.0,0.0,0.0,55127.4925,0.0,55127.4925,55127.4925,0.0
107,6124.323,22035.4276,35842.2831,521.5184,-681.1363,-8323.2781,0.0,0.0,0.0,55519.1378,0.0,55519.1378,55519.1378,0.0
108,6391.1844,22205.9911,35852.565,523.4823,-681.6014,-9185.2606,0.0,0.0,0.0,55106.3608,0.0,55106.3608,55106.3608,0.0
109,6382.5631,22201.0094,35852.272,523.4232,-681.5882,-9171.5145,0.0,0.0,0.0,55106.1651,0.0,55106.1651,55106.1651,0.0
110,6383.4223,22201.5071,35852.3013,523.4291,-681.5895,-9172.9067,0.0,0.0,0.0,55106.1637,0.0,55106.1637,55106.1637,0.0
111,6222.6041,21966.6826,35830.8979,518.9463,-680.5212,-9118.8677,0.0,0.0,0.0,54739.742,0.0,54739.742,54739.742,0.0
112,6103.9973,21743.2253,35810.1616,514.6357,-679.4529,-8733.4493,0.0,0.0,0.0,54759.1178,0.0,54759.1178,54759.1178,0.0
113,6163.2022,21863.1991,35821.3417,516.9554,-680.0332,-8996.8202,0.0,0.0,0.0,54687.845,0.0,54687.845,54687.845,0.0
