pdb,bottom_z,top_z,bottom_serial,top_serial
SOPE-00.pdb,-13.84,18.414,129,2
SOPE-01.pdb,-14.415,16.832,131,3
SOPE-02.pdb,-14.258,16.86,131,3
SOPE-03.pdb,-12.396,15.905,131,2
SOPE-04.pdb,-13.92,15.166,129,7
SOPE-05.pdb,-15.082,15.804,129,9
SOPE-06.pdb,-15.03,15.989,129,9
SOPE-07.pdb,-13.667,15.699,129,9
SOPE-08.pdb,-13.452,16.851,129,7
SOPE-09.pdb,-13.595,17.092,129,7
