TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG
35,11275.8601,13954.6459,21954.4703,1104.0719,-285.6897,5828.6864,0.0,0.0,0.0,53832.0448,0.0,53832.0448,53832.0448,0.0
36,10806.7707,13665.5602,21943.3055,1101.078,-284.9941,5397.8018,0.0,0.0,0.0,52629.5221,0.0,52629.5221,52629.5221,0.0
37,10431.8477,13406.8903,21932.6075,1099.1242,-284.3005,5727.1475,0.0,0.0,0.0,52313.3166,0.0,52313.3166,52313.3166,0.0
38,10150.8781,13178.0723,21922.3822,1098.2018,-283.6102,7077.6853,0.0,0.0,0.0,53143.6095,0.0,53143.6095,53143.6095,0.0
39,10494.3978,13452.6775,21934.5597,1099.4089,-284.4292,5600.9015,0.0,0.0,0.0,52297.5163,0.0,52297.5163,52297.5163,0.0
40,10487.9968,13448.0523,21934.3637,1099.3789,-284.4163,5612.0502,0.0,0.0,0.0,52297.4256,0.0,52297.4256,52297.4256,0.0
41,10489.5994,13449.2115,21934.4129,1099.3864,-284.4195,5609.2235,0.0,0.0,0.0,52297.4142,0.0,52297.4142,52297.4142,0.0
42,10333.4798,13300.4986,21927.5043,1098.6946,-284.1058,4054.0294,0.0,0.0,0.0,50430.1008,0.0,50430.1008,50430.1008,0.0
43,10233.1862,13166.3758,21920.815,1098.4547,-283.7794,3452.8375,0.0,0.0,0.0,49587.8898,0.0,49587.8898,49587.8898,0.0
44,10189.4466,13046.7857,21914.3476,1098.6643,-283.4438,3128.4234,0.0,0.0,0.0,49094.2236,0.0,49094.2236,49094.2236,0.0
45,9212.2491,12868.6542,21909.1807,1087.1913,-283.3492,3003.0667,0.0,0.0,0.0,47796.9928,0.0,47796.9928,47796.9928,0.0
46,8356.945,12708.3255,21904.1274,1076.0081,-283.2497,3157.1328,0.0,0.0,0.0,46919.289,0.0,46919.289,46919.289,0.0
47,7621.6793,12565.8724,21899.1891,1065.1146,-283.1442,3719.737,0.0,0.0,0.0,46588.4482,0.0,46588.4482,46588.4482,0.0
48,7003.5902,12440.7364,21894.3671,1054.511,-283.0311,5073.7122,0.0,0.0,0.0,47183.8858,0.0,47183.8858,47183.8858,0.0
49,7689.8798,12579.3227,21899.6777,1066.1909,-283.155,3637.106,0.0,0.0,0.0,46589.022,0.0,46589.022,46589.022,0.0
50,7651.1138,12571.6844,21899.4009,1065.581,-283.1489,3683.0123,0.0,0.0,0.0,46587.6435,0.0,46587.6435,46587.6435,0.0
51,7292.2427,12386.3143,21891.3545,1049.1756,-282.9115,3160.2969,0.0,0.0,0.0,45496.4724,0.0,45496.4724,45496.4724,0.0
52,6972.817,12212.2826,21883.5546,1033.4471,-282.6824,2723.8679,0.0,0.0,0.0,44543.2867,0.0,44543.2867,44543.2867,0.0
53,6995.4134,12085.1148,21878.7388,1024.5384,-282.3762,2009.0902,0.0,0.0,0.0,43710.5194,0.0,43710.5194,43710.5194,0.0
54,7054.0463,11967.7618,21874.0101,1015.8532,-282.0698,1573.4689,0.0,0.0,0.0,43203.0704,0.0,43203.0704,43203.0704,0.0
55,7147.2452,11860.756,21869.3692,1007.3914,-281.7639,1290.4549,0.0,0.0,0.0,42893.4528,0.0,42893.4528,42893.4528,0.0
56,6102.9831,11655.9892,21863.1929,996.0246,-281.5548,1379.5918,0.0,0.0,0.0,41716.2269,0.0,41716.2269,41716.2269,0.0
57,5231.5742,11470.5463,21857.1782,985.0537,-281.3619,1659.4097,0.0,0.0,0.0,40922.4002,0.0,40922.4002,40922.4002,0.0
58,4524.8469,11304.3317,21851.3269,974.4789,-281.1854,2286.1038,0.0,0.0,0.0,40659.9027,0.0,40659.9027,40659.9027,0.0
59,3973.788,11157.0527,21845.641,964.3002,-281.0251,3627.7015,0.0,0.0,0.0,41287.4583,0.0,41287.4583,41287.4583,0.0
60,4608.3569,11325.0196,21852.0839,975.8415,-281.2076,2174.6906,0.0,0.0,0.0,40654.7849,0.0,40654.7849,40654.7849,0.0
61,4597.3878,11322.3214,21851.9857,975.6646,-281.2047,2188.5116,0.0,0.0,0.0,40654.6665,0.0,40654.6665,40654.6665,0.0
62,4277.2256,11148.2779,21844.6679,963.0773,-280.922,1523.3162,0.0,0.0,0.0,39475.6429,0.0,39475.6429,39475.6429,0.0
63,3987.8782,10987.0188,21837.5616,951.0327,-280.665,949.8071,0.0,0.0,0.0,38432.6334,0.0,38432.6334,38432.6334,0.0
64,3949.2037,10883.0509,21833.3432,943.8927,-280.3852,361.1839,0.0,0.0,0.0,37690.2892,0.0,37690.2892,37690.2892,0.0
65,3944.03,10787.7015,21829.185,936.9106,-280.1114,-13.8915,0.0,0.0,0.0,37203.8243,0.0,37203.8243,37203.8243,0.0
66,3970.9313,10702.2329,21825.0873,930.0864,-279.8443,-273.208,0.0,0.0,0.0,36875.2856,0.0,36875.2856,36875.2856,0.0
67,3361.4488,10557.5727,21819.5138,920.0676,-279.6721,-340.1412,0.0,0.0,0.0,36038.7895,0.0,36038.7895,36038.7895,0.0
68,2866.3183,10429.34,21814.0677,910.3535,-279.521,-373.7894,0.0,0.0,0.0,35366.7692,0.0,35366.7692,35366.7692,0.0
69,2612.2477,10284.6221,21806.9656,898.1352,-279.1932,-626.6744,0.0,0.0,0.0,34696.103,0.0,34696.103,34696.103,0.0
70,2363.048,10140.5774,21799.4129,885.0834,-278.8515,-845.4376,0.0,0.0,0.0,34063.8325,0.0,34063.8325,34063.8325,0.0
71,2140.023,9994.7846,21791.1703,870.8173,-278.4778,-1059.1161,0.0,0.0,0.0,33459.2013,0.0,33459.2013,33459.2013,0.0
72,1946.1209,9844.2832,21781.9397,854.8408,-278.0553,-1275.7687,0.0,0.0,0.0,32873.3606,0.0,32873.3606,32873.3606,0.0
73,1781.343,9685.4902,21771.3089,836.4738,-277.5623,-1501.6175,0.0,0.0,0.0,32295.4361,0.0,32295.4361,32295.4361,0.0
74,1644.602,9513.6703,21758.6571,814.7173,-276.9665,-1744.2081,0.0,0.0,0.0,31710.4721,0.0,31710.4721,31710.4721,0.0
75,1533.6135,9322.0959,21742.9788,788.0102,-276.2179,-2014.1082,0.0,0.0,0.0,31096.3724,0.0,31096.3724,31096.3724,0.0
76,1444.1469,9100.7554,21722.5233,753.7794,-275.232,-2327.126,0.0,0.0,0.0,30418.8471,0.0,30418.8471,30418.8471,0.0
77,1378.0698,8903.4596,21702.9708,722.1159,-274.2565,-2620.2814,0.0,0.0,0.0,29812.0782,0.0,29812.0782,29812.0782,0.0
78,1313.9119,8565.8673,21661.4361,656.0048,-272.2598,-3108.2436,0.0,0.0,0.0,28816.7166,0.0,28816.7166,28816.7166,0.0
79,1260.3057,8291.0473,21622.4981,598.5031,-270.2754,-3554.0756,0.0,0.0,0.0,27948.0031,0.0,27948.0031,27948.0031,0.0
80,1218.6646,8041.3575,21567.5605,527.8282,-268.2788,-3964.8214,0.0,0.0,0.0,27122.3106,0.0,27122.3106,27122.3106,0.0
81,1214.6724,7839.3012,21514.3515,466.3114,-266.2898,-4350.3915,0.0,0.0,0.0,26417.9551,0.0,26417.9551,26417.9551,0.0
82,1180.2047,7767.6259,21496.5394,451.2361,-265.6411,-4440.7544,0.0,0.0,0.0,26189.2107,0.0,26189.2107,26189.2107,0.0
83,1225.9208,7713.404,21478.8305,436.6845,-264.9932,-4525.9103,0.0,0.0,0.0,26063.9363,0.0,26063.9363,26063.9363,0.0
84,1352.5437,7677.9846,21461.2342,422.6526,-264.3466,-4606.6926,0.0,0.0,0.0,26043.3758,0.0,26043.3758,26043.3758,0.0
85,1559.6982,7663.6467,21443.7602,409.1363,-263.7017,-4683.562,0.0,0.0,0.0,26128.9777,0.0,26128.9777,26128.9777,0.0
86,1305.2846,7686.6925,21466.5961,426.8835,-264.544,-4582.4501,0.0,0.0,0.0,26038.4628,0.0,26038.4628,26038.4628,0.0
87,1203.5825,7481.6836,21392.8213,370.1046,-262.5973,-4951.4611,0.0,0.0,0.0,25234.1336,0.0,25234.1336,25234.1336,0.0
88,1146.1478,7320.1687,21321.6593,322.5374,-260.6549,-5296.3628,0.0,0.0,0.0,24553.4955,0.0,24553.4955,24553.4955,0.0
