TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG
9000,263155.5851,18576.1437,21943.6356,989.1908,-189.9235,-8904.6249,0.0,0.0,0.0,295570.0068,0.0,295570.0068,295570.0068,0.0
9001,253592.8936,18610.3618,21941.5999,989.7146,-190.1531,-8905.7021,0.0,0.0,0.0,286038.7147,0.0,286038.7147,286038.7147,0.0
9002,244819.6817,18665.815,21940.6063,990.1137,-190.3416,-8906.2187,0.0,0.0,0.0,277319.6564,0.0,277319.6564,277319.6564,0.0
9003,236365.2438,18742.7429,21939.8867,990.3673,-190.5229,-8906.3359,0.0,0.0,0.0,268941.3819,0.0,268941.3819,268941.3819,0.0
9004,229113.8918,18808.9754,21939.4198,990.4789,-190.6516,-8905.7035,0.0,0.0,0.0,261756.4108,0.0,261756.4108,261756.4108,0.0
9005,222550.6429,18870.9954,21938.9768,990.5774,-190.7472,-8904.6118,0.0,0.0,0.0,255255.8335,0.0,255255.8335,255255.8335,0.0
9006,216202.282,18938.4972,21938.4846,990.7031,-190.8395,-8902.8986,0.0,0.0,0.0,248976.2288,0.0,248976.2288,248976.2288,0.0
9007,210966.2287,18979.1652,21938.1792,990.8168,-190.9024,-8900.1943,0.0,0.0,0.0,243783.2933,0.0,243783.2933,243783.2933,0.0
9008,205865.4983,19020.9557,21937.8674,990.9479,-190.9637,-8896.1171,0.0,0.0,0.0,238728.1884,0.0,238728.1884,238728.1884,0.0
9009,200903.2677,19062.9229,21937.5502,991.0956,-191.0236,-8889.895,0.0,0.0,0.0,233813.9178,0.0,233813.9178,233813.9178,0.0
9010,196082.3394,19104.3704,21937.2298,991.2583,-191.0821,-8880.2708,0.0,0.0,0.0,229043.8449,0.0,229043.8449,229043.8449,0.0
9011,191405.1507,19144.8095,21936.9086,991.4336,-191.1392,-8865.1724,0.0,0.0,0.0,224421.9909,0.0,224421.9909,224421.9909,0.0
9012,186873.8037,19183.9161,21936.5904,991.6179,-191.1952,-8841.1294,0.0,0.0,0.0,219953.6034,0.0,219953.6034,219953.6034,0.0
9013,182490.108,19221.4903,21936.2799,991.8053,-191.2502,-8802.2191,0.0,0.0,0.0,215646.2143,0.0,215646.2143,215646.2143,0.0
9014,178255.6383,19257.4233,21935.9849,991.9875,-191.3042,-8738.1288,0.0,0.0,0.0,211511.601,0.0,211511.601,211511.601,0.0
9015,174171.8415,19291.6688,21935.7194,992.1515,-191.3571,-8630.5729,0.0,0.0,0.0,207569.4512,0.0,207569.4512,207569.4512,0.0
9016,170240.3868,19324.2128,21935.5119,992.2827,-191.409,-8446.9031,0.0,0.0,0.0,203854.082,0.0,203854.082,203854.082,0.0
9017,166465.2288,19355.0021,21935.4253,992.4182,-191.46,-8131.8202,0.0,0.0,0.0,200424.7942,0.0,200424.7942,200424.7942,0.0
9018,158753.1592,19005.3018,21905.2505,954.8847,-191.6327,-8098.6656,0.0,0.0,0.0,192328.298,0.0,192328.298,192328.298,0.0
9019,154459.1271,18894.6685,21895.233,941.5455,-191.7157,-8017.8832,0.0,0.0,0.0,187980.9752,0.0,187980.9752,187980.9752,0.0
9020,150355.3766,18785.8921,21885.6472,928.3894,-191.7962,-7904.8466,0.0,0.0,0.0,183858.6624,0.0,183858.6624,183858.6624,0.0
9021,146448.8047,18678.7084,21875.4164,916.601,-191.874,-7785.1436,0.0,0.0,0.0,179942.5129,0.0,179942.5129,179942.5129,0.0
9022,142732.1642,18572.893,21861.8213,914.3534,-191.9495,-7685.7931,0.0,0.0,0.0,176203.4893,0.0,176203.4893,176203.4893,0.0
9023,139184.6034,18467.8083,21854.1342,894.4718,-192.0226,-7600.4416,0.0,0.0,0.0,172608.5535,0.0,172608.5535,172608.5535,0.0
9024,135791.5347,18365.0948,21839.0883,902.3515,-192.0929,-7577.3788,0.0,0.0,0.0,169128.5977,0.0,169128.5977,169128.5977,0.0
9025,132514.4067,18262.5261,21832.923,873.6052,-192.1616,-7541.0274,0.0,0.0,0.0,165750.2719,0.0,165750.2719,165750.2719,0.0
9026,129353.5685,18163.4266,21819.0588,877.2093,-192.2276,-7566.8041,0.0,0.0,0.0,162454.2315,0.0,162454.2315,162454.2315,0.0
9027,126275.8504,18065.3107,21808.6407,867.9429,-192.2919,-7575.0197,0.0,0.0,0.0,159250.4332,0.0,159250.4332,159250.4332,0.0
9028,123286.3402,17969.005,21798.2054,859.6899,-192.3544,-7593.7281,0.0,0.0,0.0,156127.158,0.0,156127.158,156127.158,0.0
9029,120377.4295,17874.4282,21787.8426,850.9862,-192.415,-7618.1901,0.0,0.0,0.0,153080.0814,0.0,153080.0814,153080.0814,0.0
9030,117543.9454,17781.5699,21777.4749,841.8899,-192.474,-7646.8395,0.0,0.0,0.0,150105.5666,0.0,150105.5666,150105.5666,0.0
9031,114781.5065,17690.4043,21767.0668,832.3881,-192.5313,-7678.3867,0.0,0.0,0.0,147200.4476,0.0,147200.4476,147200.4476,0.0
9032,112086.1256,17600.8942,21756.6029,822.5204,-192.5872,-7711.7092,0.0,0.0,0.0,144361.8466,0.0,144361.8466,144361.8466,0.0
9033,109453.925,17512.9828,21746.0787,812.3463,-192.6416,-7745.7247,0.0,0.0,0.0,141586.9664,0.0,141586.9664,141586.9664,0.0
9034,106921.4608,17427.9381,21735.6578,802.0885,-192.6938,-7778.8035,0.0,0.0,0.0,138915.6479,0.0,138915.6479,138915.6479,0.0
9035,104481.8615,17345.5327,21725.3423,791.8025,-192.7442,-7809.9652,0.0,0.0,0.0,136341.8296,0.0,136341.8296,136341.8296,0.0
9036,102124.0803,17265.4658,21715.0975,781.5015,-192.7927,-7838.2695,0.0,0.0,0.0,133855.0828,0.0,133855.0828,133855.0828,0.0
9037,99839.2102,17187.4485,21704.8981,771.1813,-192.8396,-7862.8057,0.0,0.0,0.0,131447.0928,0.0,131447.0928,131447.0928,0.0
9038,97620.0336,17111.2361,21694.7222,760.8215,-192.885,-7882.8513,0.0,0.0,0.0,129111.0771,0.0,129111.0771,129111.0771,0.0
9039,95461.0512,17036.742,21684.5408,750.3864,-192.9292,-7898.309,0.0,0.0,0.0,126841.4824,0.0,126841.4824,126841.4824,0.0
9040,93356.4049,16963.7066,21674.3564,739.8276,-192.9721,-7910.4266,0.0,0.0,0.0,124630.8967,0.0,124630.8967,124630.8967,0.0
9041,91299.6253,16891.707,21664.1771,729.0845,-193.0141,-7920.7304,0.0,0.0,0.0,122470.8496,0.0,122470.8496,122470.8496,0.0
9042,89286.6598,16820.8089,21653.99,718.1427,-193.0553,-7932.7114,0.0,0.0,0.0,120353.8348,0.0,120353.8348,120353.8348,0.0
9043,87310.9742,16750.8116,21643.6815,706.9541,-193.096,-7947.6032,0.0,0.0,0.0,118271.7221,0.0,118271.7221,118271.7221,0.0
9044,85366.0074,16681.4865,21632.164,694.8829,-193.1362,-7963.7221,0.0,0.0,0.0,116217.6826,0.0,116217.6826,116217.6826,0.0
9045,83446.6543,16612.1823,21620.9097,761.4127,-193.1759,-7982.5523,0.0,0.0,0.0,114265.4307,0.0,114265.4307,114265.4307,0.0
9046,81583.9834,16545.5438,21610.6007,814.2046,-193.2159,-8000.9847,0.0,0.0,0.0,112360.1319,0.0,112360.1319,112360.1319,0.0
9047,80471.0064,16499.2412,21597.9122,685.3736,-193.2345,-7919.0971,0.0,0.0,0.0,111141.2019,0.0,111141.2019,111141.2019,0.0
